date,sha_open,sha_high,sha_low,sha_close,sha_volume,hsi_open,hsi_high,hsi_low,hsi_close,hsi_volume,nik_open,nik_high,nik_low,nik_close,nik_volume
2015-01-05,3258.626953125,3369.281005859375,3253.883056640625,3350.51904296875,531400,23699.189453125,23998.869140625,23655.51953125,23721.3203125,2585193100,17325.6796875,17540.919921875,17219.220703125,17408.7109375,116500000
2015-01-06,3330.799072265625,3394.22412109375,3303.18408203125,3351.446044921875,501700,23515.130859375,23611.0,23312.5,23485.41015625,2617976900,17101.580078125,17111.359375,16881.73046875,16883.189453125,166000000
2015-01-07,3326.64892578125,3374.89599609375,3312.2109375,3373.9541015625,391900,23396.69921875,23715.7109375,23332.029296875,23681.259765625,2181069500,16808.259765625,16974.609375,16808.259765625,16885.330078125,138600000
2015-01-08,3371.95703125,3381.56591796875,3285.094970703125,3293.4560546875,371100,23920.349609375,23941.640625,23719.05078125,23835.529296875,2011642900,17067.400390625,17243.7109375,17016.08984375,17167.099609375,140600000
2015-01-09,3276.965087890625,3404.833984375,3267.509033203125,3285.412109375,410200,24049.69921875,24169.060546875,23859.490234375,23919.94921875,2334809800,17318.740234375,17342.650390625,17129.529296875,17197.73046875,155200000
2015-01-13,3223.5419921875,3259.385986328125,3214.412109375,3235.301025390625,230700,23908.23046875,24254.109375,23908.23046875,24215.970703125,1393185700,16970.880859375,17087.7109375,16828.26953125,17087.7109375,149200000
2015-01-14,3242.3369140625,3268.48291015625,3193.97802734375,3222.43701171875,240200,24276.330078125,24326.69921875,24056.220703125,24112.599609375,1462960700,16961.8203125,17036.720703125,16770.560546875,16795.9609375,148500000
2015-01-15,3224.070068359375,3337.083984375,3207.544921875,3336.455078125,282500,24169.349609375,24369.0,24070.390625,24350.91015625,1754036200,16872.94921875,17141.98046875,16856.220703125,17108.69921875,147700000
2015-01-16,3343.60302734375,3400.318115234375,3340.489990234375,3376.4951171875,339900,24196.849609375,24253.08984375,24086.2109375,24103.51953125,1716809500,16812.9609375,16864.33984375,16592.5703125,16864.16015625,171100000
2015-01-19,3189.72705078125,3262.20703125,3095.06591796875,3116.35107421875,401100,23971.23046875,24049.55078125,23590.05078125,23738.490234375,2945751300,17000.779296875,17039.80078125,16911.580078125,17014.2890625,128000000
2015-01-20,3114.56005859375,3190.2451171875,3100.47705078125,3173.052001953125,357100,23798.4609375,23997.310546875,23747.919921875,23951.16015625,1632662200,17071.650390625,17366.30078125,17066.76953125,17366.30078125,133000000
2015-01-21,3189.0849609375,3337.00390625,3178.343017578125,3323.611083984375,411000,24036.41015625,24373.279296875,24016.630859375,24352.580078125,1843495600,17308.720703125,17329.029296875,17181.55078125,17280.48046875,136000000
2015-01-22,3327.319091796875,3352.384033203125,3293.97802734375,3343.343994140625,353400,24480.01953125,24589.619140625,24438.98046875,24522.630859375,1679836000,17306.640625,17355.740234375,17229.2109375,17329.01953125,121900000
2015-01-23,3357.095947265625,3406.785888671875,3328.29296875,3351.763916015625,366200,24807.359375,24896.220703125,24726.76953125,24850.44921875,2375624000,17520.630859375,17532.060546875,17460.759765625,17511.75,132500000
2015-01-26,3347.257080078125,3384.798095703125,3321.31494140625,3383.181884765625,317500,24907.189453125,24916.490234375,24761.55078125,24909.900390625,1321615900,17285.7109375,17471.939453125,17285.7109375,17468.51953125,111600000
2015-01-27,3389.85302734375,3390.216064453125,3290.218994140625,3352.9599609375,374500,24995.080078125,24995.080078125,24672.759765625,24807.279296875,1705133000,17649.400390625,17768.41015625,17633.470703125,17768.30078125,139700000
2015-01-28,3325.721923828125,3354.802001953125,3294.655029296875,3305.738037109375,301900,24799.98046875,24983.890625,24716.6796875,24861.810546875,1361037100,17615.9296875,17850.58984375,17615.9296875,17795.73046875,141900000
2015-01-29,3258.9970703125,3286.785888671875,3234.240966796875,3262.304931640625,274700,24645.19921875,24739.220703125,24524.1796875,24595.849609375,1864023100,17666.91015625,17778.830078125,17575.099609375,17606.220703125,140000000
2015-01-30,3273.7470703125,3288.5029296875,3210.30810546875,3210.363037109375,258300,24771.369140625,24771.369140625,24450.05078125,24507.05078125,1438942200,17788.740234375,17808.470703125,17661.099609375,17674.390625,173500000
2015-02-02,3148.135986328125,3175.134033203125,3122.572021484375,3128.300048828125,250900,24347.26953125,24506.810546875,24324.369140625,24484.740234375,1576244000,17536.609375,17628.400390625,17459.44921875,17558.0390625,136000000
2015-02-03,3156.0859375,3207.93505859375,3129.73193359375,3204.906982421875,248200,24542.490234375,24602.599609375,24327.509765625,24554.779296875,1552841000,17654.599609375,17654.599609375,17271.869140625,17335.849609375,169600000
2015-02-04,3212.822021484375,3238.98193359375,3171.14404296875,3174.1259765625,249100,24750.759765625,24824.580078125,24642.5,24679.759765625,1836282100,17549.30078125,17743.109375,17535.0390625,17678.740234375,187000000
2015-02-05,3251.2119140625,3251.2119140625,3135.819091796875,3136.531005859375,306100,25048.259765625,25048.259765625,24642.810546875,24765.490234375,2343789500,17589.2109375,17619.33984375,17484.669921875,17504.619140625,185000000
2015-02-06,3120.090087890625,3129.5390625,3052.93896484375,3075.906982421875,246700,24843.19921875,24843.19921875,24645.759765625,24679.390625,1440536200,17696.1796875,17700.669921875,17603.0703125,17648.5,142500000
2015-02-09,3063.510009765625,3119.033935546875,3049.111083984375,3095.1240234375,206100,24529.55078125,24657.869140625,24449.48046875,24521.0,1285537200,17790.310546875,17799.490234375,17653.609375,17711.9296875,129500000
2015-02-10,3090.489990234375,3142.09912109375,3084.2529296875,3141.593017578125,193800,24475.0390625,24583.7890625,24422.849609375,24528.099609375,1028014100,17662.669921875,17673.26953125,17550.029296875,17652.6796875,123900000
2015-02-12,3157.958984375,3181.76611328125,3134.243896484375,3173.416015625,194600,24377.58984375,24514.490234375,24226.2890625,24422.150390625,1472143500,17899.400390625,18005.44921875,17884.33984375,17979.720703125,181200000
2015-02-13,3186.80810546875,3237.158935546875,3182.7939453125,3203.826904296875,261300,24535.66015625,24702.5390625,24521.130859375,24682.5390625,1342650600,17892.099609375,17962.109375,17864.55078125,17913.359375,162000000
2015-02-16,3206.136962890625,3228.845947265625,3195.884033203125,3222.363037109375,223800,24717.490234375,24771.599609375,24687.150390625,24726.529296875,926608300,18024.009765625,18074.259765625,17978.900390625,18004.76953125,152600000
2015-02-17,3230.884033203125,3255.72509765625,3230.77197265625,3246.906005859375,228300,24653.880859375,24855.75,24653.880859375,24784.880859375,822899900,17949.69921875,18009.44921875,17901.259765625,17987.08984375,142100000
2015-02-25,3256.47900390625,3257.222900390625,3215.552001953125,3228.843017578125,233300,24822.279296875,24869.369140625,24691.779296875,24778.279296875,1387652700,18636.33984375,18648.76953125,18552.810546875,18585.19921875,139100000
2015-02-26,3222.15087890625,3300.615966796875,3202.18798828125,3298.35888671875,301300,24718.279296875,24998.640625,24709.560546875,24902.060546875,1803456500,18587.869140625,18790.830078125,18587.130859375,18785.7890625,155500000
2015-02-27,3296.8310546875,3324.5458984375,3291.007080078125,3310.302978515625,299200,24902.609375,25101.9609375,24815.029296875,24823.2890625,1504213700,18844.279296875,18865.390625,18714.640625,18797.939453125,174700000
2015-03-02,3332.720947265625,3336.760009765625,3298.6689453125,3336.284912109375,346400,24996.759765625,24997.830078125,24715.380859375,24887.439453125,1543093900,18869.400390625,18939.169921875,18775.23046875,18826.880859375,134800000
2015-03-03,3317.695068359375,3317.695068359375,3260.428955078125,3263.052001953125,382000,24984.619140625,24984.619140625,24663.4296875,24702.779296875,1499929300,18910.51953125,18910.51953125,18730.5703125,18815.16015625,154800000
2015-03-04,3264.181884765625,3286.587890625,3250.48388671875,3279.532958984375,293600,24656.939453125,24705.9609375,24439.2890625,24465.380859375,1618240300,18716.779296875,18732.66015625,18586.83984375,18703.599609375,143300000
2015-03-05,3264.0849609375,3266.637939453125,3221.666015625,3248.47607421875,320700,24274.900390625,24393.849609375,24133.7109375,24193.0390625,1923405000,18658.16015625,18767.5,18655.359375,18751.83984375,121900000
2015-03-06,3248.035888671875,3266.93310546875,3234.532958984375,3241.18701171875,282900,24235.759765625,24294.359375,24126.08984375,24164.0,1620647200,18814.849609375,18979.640625,18808.30078125,18971.0,147100000
2015-03-09,3224.31396484375,3307.701904296875,3198.3701171875,3302.407958984375,321500,23982.5,24205.859375,23910.16015625,24123.05078125,1619496400,18872.9609375,18878.150390625,18733.869140625,18790.55078125,118000000
2015-03-10,3289.0849609375,3309.9150390625,3277.094970703125,3286.068115234375,285800,24150.6796875,24152.400390625,23869.8203125,23896.98046875,1521299200,18891.009765625,18924.380859375,18577.060546875,18665.109375,148300000
2015-03-11,3289.593994140625,3325.053955078125,3278.470947265625,3290.89990234375,283000,23807.099609375,23899.859375,23703.83984375,23717.970703125,1678330500,18604.869140625,18836.9296875,18583.51953125,18723.51953125,130000000
2015-03-12,3314.81298828125,3360.053955078125,3300.488037109375,3349.322998046875,357300,23709.169921875,23880.25,23677.060546875,23797.9609375,1619061000,18787.099609375,19008.130859375,18774.419921875,18991.109375,149700000
2015-03-13,3359.488037109375,3391.2548828125,3352.14990234375,3372.910888671875,328400,23808.970703125,23918.7109375,23790.830078125,23823.2109375,1538401000,19119.580078125,19335.80078125,19042.25,19254.25,227800000
2015-03-16,3391.157958984375,3449.304931640625,3377.0869140625,3449.304931640625,399100,23771.400390625,23970.05078125,23711.26953125,23949.55078125,1187740300,19245.380859375,19349.19921875,19226.7109375,19246.060546875,129000000
2015-03-17,3469.60302734375,3504.123046875,3459.694091796875,3502.846923828125,520900,24106.470703125,24106.470703125,23822.779296875,23901.490234375,1188627100,19425.890625,19479.890625,19373.390625,19437.0,131800000
2015-03-18,3510.5009765625,3577.662109375,3503.85302734375,3577.301025390625,545200,23938.630859375,24210.75,23938.630859375,24120.080078125,1668404600,19407.759765625,19555.720703125,19389.240234375,19544.48046875,134400000
2015-03-19,3576.01904296875,3600.68408203125,3546.843994140625,3582.27099609375,537300,24325.560546875,24500.23046875,24248.83984375,24468.890625,1826036300,19514.640625,19557.169921875,19312.69921875,19476.560546875,151100000
2015-03-20,3587.083984375,3632.337890625,3569.3798828125,3617.318115234375,516700,24417.529296875,24524.55078125,24351.5,24375.240234375,2006074900,19479.7109375,19565.439453125,19416.630859375,19560.220703125,137500000
