Date,Open,High,Low,Close
2007-07-10,520.469970703125,522.6799926757812,515.3599853515625,516.5499877929688
2007-07-11,516.5599975585938,518.5700073242188,513.469970703125,516.0
2007-07-12,516.4099731445312,530.989990234375,516.4099731445312,530.9600219726562
2007-07-13,530.9600219726562,531.4600219726562,528.0900268554688,529.8900146484375
2007-07-16,529.760009765625,532.9299926757812,528.719970703125,530.9099731445312
2007-07-17,531.0499877929688,549.3900146484375,531.0499877929688,546.5900268554688
2007-07-18,545.4099731445312,545.4099731445312,533.4299926757812,539.27001953125
2007-07-19,539.7100219726562,544.72998046875,537.780029296875,543.5399780273438
2007-07-20,547.0399780273438,547.5800170898438,536.1500244140625,536.8699951171875
2007-07-23,537.0900268554688,540.2899780273438,533.530029296875,533.9400024414062
2007-07-24,533.4500122070312,533.4500122070312,522.530029296875,523.739990234375
2007-07-25,523.9199829101562,529.5399780273438,520.989990234375,524.260009765625
2007-07-26,524.260009765625,524.260009765625,505.2099914550781,512.5999755859375
2007-07-27,512.52001953125,515.239990234375,502.1700134277344,502.2799987792969
2007-07-30,502.7699890136719,513.4000244140625,502.7699890136719,510.8800048828125
2007-07-31,510.92999267578125,515.1300048828125,498.7699890136719,499.0799865722656
2007-08-01,499.0799865722656,502.3699951171875,490.17999267578125,500.9200134277344
2007-08-02,500.95001220703125,502.79998779296875,494.7699890136719,500.1300048828125
2007-08-03,500.010009765625,502.07000732421875,487.5799865722656,487.6300048828125
2007-08-06,487.82000732421875,495.2200012207031,486.4700012207031,495.19000244140625
2007-08-07,495.1199951171875,498.3500061035156,485.7300109863281,494.3299865722656
2007-08-08,493.95001220703125,510.9100036621094,493.95001220703125,505.6199951171875
2007-08-09,504.92999267578125,511.989990234375,499.010009765625,502.1600036621094
2007-08-10,502.239990234375,509.95001220703125,496.9700012207031,504.2799987792969
2007-08-13,504.69000244140625,508.45001220703125,501.3599853515625,501.7099914550781
2007-08-14,501.6300048828125,504.25,490.4100036621094,490.5
2007-08-15,490.4599914550781,490.67999267578125,478.8599853515625,479.1300048828125
2007-08-16,478.0799865722656,481.8599853515625,465.3800048828125,477.7099914550781
2007-08-17,479.1400146484375,494.6199951171875,479.1400146484375,487.80999755859375
2007-08-20,487.7699890136719,494.6199951171875,487.20001220703125,492.1400146484375
2007-08-21,491.4200134277344,494.6099853515625,489.8800048828125,492.0299987792969
2007-08-22,492.0400085449219,497.1499938964844,492.0400085449219,496.4800109863281
2007-08-23,496.5799865722656,497.6700134277344,490.2900085449219,492.79998779296875
2007-08-24,492.79998779296875,495.82000732421875,489.0799865722656,495.7200012207031
2007-08-27,495.67999267578125,495.67999267578125,487.3599853515625,487.54998779296875
2007-08-28,487.42999267578125,487.42999267578125,475.8599853515625,476.0799865722656
2007-08-29,476.44000244140625,489.760009765625,476.44000244140625,489.3399963378906
2007-08-30,489.2900085449219,495.1600036621094,486.3800048828125,490.1400146484375
2007-08-31,490.8599853515625,498.8900146484375,490.8599853515625,497.44000244140625
2007-09-04,497.30999755859375,512.5999755859375,497.30999755859375,508.4100036621094
2007-09-05,508.07000732421875,508.07000732421875,497.8399963378906,502.1400146484375
2007-09-06,502.260009765625,507.6499938964844,499.989990234375,505.6099853515625
2007-09-07,504.8399963378906,504.8399963378906,489.6400146484375,492.95001220703125
2007-09-10,493.19000244140625,500.260009765625,490.4100036621094,495.8599853515625
2007-09-11,496.05999755859375,503.42999267578125,495.4599914550781,499.92999267578125
2007-09-12,499.3500061035156,499.5400085449219,489.70001220703125,490.2099914550781
2007-09-13,490.30999755859375,492.2300109863281,486.3500061035156,488.17999267578125
2007-09-14,487.5299987792969,488.4700012207031,483.95001220703125,487.0
2007-09-17,486.92999267578125,486.92999267578125,482.260009765625,484.29998779296875
2007-09-18,484.8500061035156,498.80999755859375,484.8500061035156,498.05999755859375
2007-09-19,498.17999267578125,504.4100036621094,496.1000061035156,498.7300109863281
2007-09-20,498.6000061035156,501.2699890136719,496.05999755859375,499.1499938964844
2007-09-21,499.29998779296875,504.32000732421875,499.29998779296875,501.1300048828125
2007-09-24,501.1600036621094,502.239990234375,493.42999267578125,495.2799987792969
2007-09-25,495.0299987792969,498.1300048828125,490.9599914550781,497.20001220703125
2007-09-26,497.8599853515625,502.739990234375,494.70001220703125,495.6600036621094
2007-09-27,495.8699951171875,501.6099853515625,495.8699951171875,498.8900146484375
2007-09-28,498.9800109863281,503.010009765625,498.8299865722656,500.0899963378906
2007-10-01,500.17999267578125,508.29998779296875,500.17999267578125,506.0199890136719
2007-10-02,506.0799865722656,508.1600036621094,503.1199951171875,505.9700012207031
